"game_id","family","role","arm","rating_delta","rating_reward","context"
"f52af547-2991-429c-8174-e02d2d9173ac","bargaining","player_2","v27_context_repair","-5.63","0.196629","[""player_2"",""full"",2,3]"
"263c30f3-7c01-42b9-8c04-d5096fcc60b0","bargaining","player_2","v27_context_repair","-5.8","0.190002","[""player_2"",""hidden"",0,2]"
"f0d1e7a3-97eb-4742-b683-02b1ecf554cf","bargaining","player_1","v27_context_repair","1.54","0.595078","[""player_1"",""hidden"",2,2]"
"b0355444-9123-4b84-8984-90d44422a1d3","bargaining","player_2","v27_context_repair","-4.91","0.226619","[""player_2"",""hidden"",0,3]"
"15e66b6c-ae23-45f7-a2a0-04e662528a2d","bargaining","player_2","v27_context_repair","3.89","0.725618","[""player_2"",""full"",0,3]"
"5dc6d6f6-ef41-45fe-8df6-78b926cc77e4","bargaining","player_2","v27_context_repair","-4.8","0.231475","[""player_2"",""full"",0,2]"
"a8b353e5-5c16-4613-a2b4-cdb4aa1db0f4","bargaining","player_2","v27_context_repair","2.97","0.677542","[""player_2"",""full"",0,2]"
"b5cff9f9-4237-4c2f-ac3d-6942bbce35e5","bargaining","player_2","v27_context_repair","-5.8","0.190002","[""player_2"",""full"",0,1]"
"6abcd3c9-88b5-43e8-a80e-a69f0654b550","bargaining","player_1","v27_context_repair","-0.76","0.452642","[""player_1"",""hidden"",2,3]"
"6d26c531-5b89-4f3f-8b24-3becd8036dad","bargaining","player_1","v27_context_repair","7.99","0.880534","[""player_1"",""hidden"",2,1]"
"446ad96c-7389-41ed-86cc-92c8fcd8cc9f","bargaining","player_2","v27_context_repair","-4.16","0.26115","[""player_2"",""hidden"",0,2]"
"54d97062-5525-4d87-9aea-2adafe55dbb1","bargaining","player_2","v27_context_repair","6.78","0.844881","[""player_2"",""full"",0,2]"
"eeee01f1-2d39-4f5d-b0e9-696b038687ca","bargaining","player_2","v27_context_repair","-3.72","0.282925","[""player_2"",""hidden"",0,3]"
"321550d7-640c-414b-b3ff-06abdd9ee29a","bargaining","player_1","v27_context_repair","3.58","0.709921","[""player_1"",""hidden"",2,3]"
"3bc3cb5d-806c-4303-8b0f-a2f4c32a19fe","bargaining","player_1","v27_context_repair","4.65","0.761787","[""player_1"",""hidden"",0,1]"
"e485243c-9d8e-488c-bd01-90145f60298a","bargaining","player_2","v27_context_repair","2.28","0.638763","[""player_2"",""hidden"",0,2]"
"c88364a2-7f39-49c8-a37a-77c67e00477c","bargaining","player_2","v27_context_repair","7.46","0.865879","[""player_2"",""full"",2,1]"
